"","seq_number","sum.taxonomy"
"306","merged_bio_12S_miu_2296",""
"307","merged_bio_12S_miu_2308","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Pan;Pan paniscus"
"308","merged_bio_12S_elas_1","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"309","merged_bio_12S_elas_3","Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus argenteus"
"310","merged_bio_12S_elas_5","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;;"
"311","merged_bio_12S_elas_7",""
"312","merged_bio_12S_elas_8","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis"
"313","merged_bio_12S_elas_9","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;"
"314","merged_bio_12S_elas_10",""
"315","merged_bio_12S_elas_14","Eukaryota;Chordata;Actinopteri;;Embiotocidae;Embiotoca;Embiotoca jacksoni"
"316","merged_bio_12S_elas_16","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"317","merged_bio_12S_elas_17","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Girella;Girella simplicidens"
"318","merged_bio_12S_elas_19",""
"319","merged_bio_12S_elas_27",""
"320","merged_bio_12S_elas_28","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis"
"321","merged_bio_12S_elas_29",""
"322","merged_bio_12S_elas_32","Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Paralichthyidae;Citharichthys;Citharichthys stigmaeus"
"323","merged_bio_12S_elas_39","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Scorpaenichthys;Scorpaenichthys marmoratus"
"324","merged_bio_12S_elas_44","Eukaryota;Chordata;Actinopteri;NA;Opistognathidae;Opistognathus;Opistognathus jacksoniensis"
"325","merged_bio_12S_elas_53","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"326","merged_bio_12S_elas_69",""
"327","merged_bio_12S_elas_77",""
"328","merged_bio_12S_elas_107","Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Clinocottus;Clinocottus globiceps"
"329","merged_bio_12S_elas_109","Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Katsuwonus;Katsuwonus pelamis"
"330","merged_bio_12S_elas_112",""
"331","merged_bio_12S_elas_138","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Oxyjulis;Oxyjulis californica"
"332","merged_bio_12S_elas_150",""
"333","merged_bio_12S_elas_171","Eukaryota;Chordata;Actinopteri;Beloniformes;Exocoetidae;;"
"334","merged_bio_12S_elas_190",""
"335","merged_bio_12S_elas_191",""
"336","merged_bio_12S_elas_195",""
"337","merged_bio_12S_elas_196","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"338","merged_bio_12S_elas_202","Eukaryota;Chordata;Actinopteri;NA;Embiotocidae;Amphistichus;Amphistichus argenteus"
"339","merged_bio_12S_elas_204",""
"340","merged_bio_12S_elas_212",""
"341","merged_bio_12S_elas_259","Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Myliobatis;Myliobatis californica"
"342","merged_bio_12S_elas_300",""
"343","merged_bio_12S_elas_303",""
"344","merged_bio_12S_elas_366","Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Hypsypops;Hypsypops rubicundus"
"345","merged_bio_12S_elas_379",""
"346","merged_bio_12S_elas_397","Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Semicossyphus;Semicossyphus pulcher"
"347","merged_bio_12S_elas_416",""
"348","merged_bio_12S_elas_430",""
"349","merged_bio_12S_elas_450",""
"350","merged_bio_12S_elas_455",""
"351","merged_bio_12S_elas_475",""
"352","merged_bio_12S_elas_492","Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa"
"353","merged_bio_12S_elas_515","Eukaryota;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Leuresthes;Leuresthes tenuis"
"354","merged_bio_12S_elas_523","Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops sagax"
"355","merged_bio_12S_elas_633",""
"356","merged_bio_12S_elas_690","Eukaryota;Chordata;Actinopteri;;Pomacentridae;Plectroglyphidodon;Plectroglyphidodon lacrymatus"
"357","merged_bio_12S_elas_742","Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Trachurus;Trachurus symmetricus"
"358","merged_bio_12S_elas_746","Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Zalophus;Zalophus californianus"
"359","merged_bio_12S_elas_931","Eukaryota;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Medialuna;Medialuna californiensis"
"360","merged_bio_12S_elas_991",""
"361","merged_bio_12S_elas_1004",""
"362","merged_bio_12S_elas_1112","Eukaryota;Chordata;Actinopteri;Blenniiformes;Tripterygiidae;Enneapterygius;"
"363","merged_bio_12S_elas_1118",""
"364","merged_bio_12S_elas_1175",""
"365","merged_bio_12S_elas_1363",""
"366","merged_bio_12S_elas_1514",""
"367","merged_bio_12S_elas_1564",""
"368","merged_bio_12S_elas_1586",""
"369","merged_bio_12S_elas_1632",""
"370","merged_bio_12S_elas_1684",""
"371","merged_bio_12S_elas_1829",""
"372","merged_bio_12S_elas_1842",""
"373","merged_bio_12S_elas_1900",""
"374","merged_bio_12S_elas_1990",""
"375","merged_bio_12S_elas_2019",""
"376","merged_bio_12S_elas_2121",""
"377","merged_bio_12S_elas_2212",""
"378","merged_bio_12S_elas_2328","Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Variola;Variola albimarginata"
"379","merged_bio_12S_elas_2330",""
"380","merged_bio_12S_elas_2355","Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pleurosicya;Pleurosicya labiata"
